Date,AAPL,BTC-USD,ETH-USD,MSFT
2024-11-12,222.8064727783203,87955.8125,3246.25732421875,417.23529052734375
2024-11-13,223.6908416748047,90584.1640625,3192.595947265625,419.3755798339844
2024-11-14,226.77113342285156,87250.4296875,3058.94873046875,421.04241943359375
2024-11-15,223.57159423828125,91066.0078125,3103.04052734375,409.3153076171875
2024-11-16,,90558.4765625,3133.27392578125,
2024-11-17,,89845.8515625,3075.66162109375,
2024-11-18,226.57241821289062,90542.640625,3207.8564453125,410.06488037109375
2024-11-19,226.8307647705078,92343.7890625,3111.384033203125,412.06707763671875
2024-11-20,227.54620361328125,94339.4921875,3072.18798828125,409.798583984375
2024-11-21,227.0692596435547,98504.7265625,3361.053955078125,408.0295715332031
2024-11-22,228.41067504882812,98997.6640625,3331.600830078125,412.11114501953125
2024-11-23,,97777.28125,3396.223388671875,
2024-11-24,,98013.8203125,3363.659912109375,
2024-11-25,231.39161682128906,93102.296875,3413.5439453125,413.8801574707031
2024-11-26,233.56771850585938,91985.3203125,3326.517333984375,422.9723205566406
2024-11-27,233.43853759765625,95962.53125,3657.249267578125,418.0309143066406
2024-11-28,,95652.46875,3579.8115234375,
2024-11-29,235.82330322265625,97461.5234375,3593.494384765625,418.49542236328125
2024-11-30,,96449.0546875,3705.705322265625,
2024-12-01,,97279.7890625,3711.1650390625,
2024-12-02,238.0689697265625,95865.3046875,3644.198486328125,425.92724609375
2024-12-03,241.1095428466797,96002.1640625,3620.711669921875,426.1446838378906
2024-12-04,241.4672393798828,98768.53125,3841.3310546875,432.291748046875
2024-12-05,241.4970703125,96593.5703125,3811.00830078125,437.4308166503906
2024-12-06,241.29832458496094,99920.7109375,4005.810546875,438.3696594238281
2024-12-07,,99923.3359375,4002.692626953125,
2024-12-08,,101236.015625,4005.70458984375,
2024-12-09,245.18350219726562,97432.71875,3718.6904296875,440.7909240722656
2024-12-10,246.19703674316406,96675.4296875,3631.833740234375,438.1324462890625
2024-12-11,244.9251708984375,101173.03125,3832.822021484375,443.7261047363281
2024-12-12,246.3858184814453,100043.0,3883.1015625,444.2894287109375
2024-12-13,246.5547332763672,101459.2578125,3911.205322265625,442.0262756347656
2024-12-14,,101372.96875,3868.4052734375,
2024-12-15,,104298.6953125,3951.941162109375,
2024-12-16,249.44627380371094,106029.71875,3987.48095703125,446.2956237792969
2024-12-17,251.8707733154297,106140.6015625,3886.76611328125,449.1319885253906
2024-12-18,246.4752655029297,100041.5390625,3618.791259765625,432.2621154785156
2024-12-19,248.2041778564453,97490.953125,3417.927978515625,431.9063415527344
2024-12-20,252.8743896484375,97755.9296875,3472.553466796875,431.4814147949219
2024-12-21,,97224.7265625,3337.222412109375,
2024-12-22,,95104.9375,3277.53515625,
2024-12-23,253.6494140625,94686.2421875,3415.785400390625,430.147216796875
2024-12-24,256.5608215332031,98676.09375,3492.0498046875,434.17938232421875
2024-12-25,,99299.1953125,3493.2353515625,
2024-12-26,257.37554931640625,95795.515625,3331.225830078125,432.9736633300781
2024-12-27,253.96739196777344,94164.859375,3328.9169921875,425.4825439453125
2024-12-28,,95163.9296875,3397.90234375,
2024-12-29,,93530.2265625,3349.513427734375,
2024-12-30,250.59889221191406,92643.2109375,3356.392578125,419.849365234375
2024-12-31,248.8302001953125,93429.203125,3332.53173828125,416.55841064453125
2025-01-01,,94419.7578125,3353.504150390625,
2025-01-02,242.3019256591797,96886.875,3451.392578125,413.6726379394531
2025-01-03,241.81503295898438,98107.4296875,3605.009765625,418.3866882324219
2025-01-04,,98236.2265625,3657.706787109375,
2025-01-05,,98314.9609375,3634.103759765625,
2025-01-06,243.4446258544922,102078.0859375,3688.611328125,422.8339538574219
2025-01-07,240.6723175048828,96922.703125,3381.577392578125,417.418212890625
2025-01-08,241.15921020507812,95043.5234375,3326.329345703125,419.5824890136719
2025-01-09,,92484.0390625,3219.4306640625,
2025-01-10,235.3463592529297,94701.453125,3267.489990234375,414.03826904296875
2025-01-11,,94566.59375,3282.2177734375,
2025-01-12,,94488.4375,3265.951171875,
2025-01-13,232.9119110107422,94516.5234375,3135.499755859375,412.2989196777344
2025-01-14,231.7990264892578,96534.046875,3223.6845703125,410.7967529296875
2025-01-15,236.35989379882812,100504.4921875,3450.53759765625,421.3119812011719
2025-01-16,226.81089782714844,99756.90625,3308.34521484375,419.60223388671875
2025-01-17,228.51995849609375,104462.0390625,3474.107177734375,424.0001220703125
2025-01-18,,104408.0703125,3305.78955078125,
2025-01-19,,101089.609375,3208.96435546875,
2025-01-20,,102016.6640625,3278.035400390625,
2025-01-21,221.22657775878906,106146.265625,3327.40625,423.4763488769531
2025-01-22,222.4090118408203,103653.0703125,3240.224609375,440.9688415527344
2025-01-23,222.2401123046875,103960.171875,3334.714111328125,441.4728088378906
2025-01-24,221.36566162109375,104819.484375,3309.554931640625,438.8539123535156
2025-01-25,,104714.6484375,3317.26953125,
2025-01-26,,102682.5,3236.13427734375,
2025-01-27,228.4007110595703,102087.6875,3178.92041015625,429.46527099609375
2025-01-28,236.74740600585938,101332.4765625,3077.112548828125,441.9571533203125
2025-01-29,237.84043884277344,103703.2109375,3112.9990234375,437.1441955566406
2025-01-30,236.08164978027344,104735.3046875,3247.780029296875,410.1247253417969
2025-01-31,234.5017547607422,102405.0234375,3298.26513671875,410.1938781738281
2025-02-01,,100655.90625,3118.32861328125,
2025-02-02,,97688.9765625,2868.69287109375,
2025-02-03,226.5624542236328,101405.421875,2884.566650390625,406.1024475097656
2025-02-04,231.32205200195312,97871.8203125,2735.05126953125,407.5354309082031
2025-02-05,230.99415588378906,96615.4453125,2787.779052734375,408.44464111328125
2025-02-06,231.73939514160156,96593.296875,2688.40087890625,410.94500732421875
2025-02-07,226.18490600585938,96529.0859375,2622.211181640625,404.9461364746094
2025-02-08,,96482.453125,2632.308349609375,
2025-02-09,,96500.09375,2628.72119140625,
2025-02-10,226.4534454345703,97437.5546875,2661.166748046875,407.3871765136719
2025-02-11,231.39735412597656,95747.4296875,2602.781982421875,406.6163330078125
2025-02-12,235.625,97885.859375,2736.902099609375,404.2444763183594
2025-02-13,240.26051330566406,96623.8671875,2675.902587890625,405.72686767578125
2025-02-14,243.31439208984375,97508.96875,2726.091552734375,403.6416320800781
2025-02-15,,97580.3515625,2693.559814453125,
2025-02-16,,96175.03125,2663.31591796875,
2025-02-17,,95773.3828125,2743.19970703125,
2025-02-18,243.18508911132812,95539.546875,2669.3388671875,404.8374328613281
2025-02-19,243.58294677734375,96635.609375,2715.77099609375,409.9072570800781
2025-02-20,244.5379180908203,98333.9375,2740.386474609375,412.07598876953125
2025-02-21,244.2593994140625,96125.546875,2659.655517578125,404.23309326171875
2025-02-22,,96577.7578125,2764.029296875,
2025-02-23,,96273.921875,2821.310302734375,
2025-02-24,245.80125427246094,91418.171875,2513.8212890625,400.06414794921875
2025-02-25,245.74156188964844,88736.171875,2493.592529296875,394.0235290527344
2025-02-26,239.09669494628906,84347.0234375,2331.45263671875,395.8357238769531
2025-02-27,236.05276489257812,84704.2265625,2305.484375,388.70587158203125
2025-02-28,240.56887817382812,84373.0078125,2237.9052734375,393.1224060058594
2025-03-01,,86031.9140625,2216.643310546875,
2025-03-02,,94248.3515625,2519.694580078125,
2025-03-03,236.77891540527344,86065.671875,2145.573974609375,384.7052307128906
2025-03-04,234.68994140625,87222.1953125,2170.01513671875,384.82403564453125
2025-03-05,234.50096130371094,90623.5625,2241.977294921875,397.1131591796875
2025-03-06,234.09312438964844,89961.7265625,2202.476806640625,393.0234069824219
2025-03-07,237.81344604492188,86742.671875,2138.987548828125,389.478271484375
2025-03-08,,86154.59375,2201.51025390625,
2025-03-09,,80601.0390625,2015.5091552734375,
2025-03-10,226.28436279296875,78532.0,1861.1513671875,376.4563903808594
2025-03-11,219.6792755126953,82862.2109375,1919.844970703125,376.7435607910156
2025-03-12,215.83956909179688,83722.359375,1908.982666015625,379.53607177734375
2025-03-13,208.5779266357422,81066.703125,1862.9696044921875,375.07989501953125
2025-03-14,212.36790466308594,83969.1015625,1909.467529296875,384.7745666503906
2025-03-15,,84343.109375,1937.3946533203125,
2025-03-16,,82579.6875,1887.43505859375,
2025-03-17,212.87521362304688,84075.6875,1927.0029296875,384.9131774902344
2025-03-18,211.5720977783203,82718.5,1932.54345703125,379.7836608886719
2025-03-19,214.1086883544922,86854.2265625,2057.7490234375,384.0417785644531
2025-03-20,212.97470092773438,84167.1953125,1982.099853515625,383.0713195800781
2025-03-21,217.12278747558594,84043.2421875,1964.8475341796875,387.4482421875
2025-03-22,,83832.484375,1980.037841796875,
2025-03-23,,86054.375,2005.2991943359375,
2025-03-24,219.56985473632812,87498.9140625,2077.47900390625,389.2505187988281
2025-03-25,222.573974609375,87471.703125,2067.76416015625,391.3102722167969
2025-03-26,220.3656463623047,86900.8828125,2009.1893310546875,386.17083740234375
2025-03-27,222.6734619140625,87177.1015625,2002.357421875,386.77490234375
2025-03-28,216.7547149658203,84353.1484375,1895.5029296875,375.109619140625
2025-03-29,,82597.5859375,1827.3203125,
2025-03-30,,82334.5234375,1806.2186279296875,
2025-03-31,220.9624786376953,82548.9140625,1823.47998046875,371.73284912109375
2025-04-01,222.01690673828125,85169.171875,1905.491455078125,378.4666442871094
2025-04-02,222.71324157714844,82485.7109375,1795.313232421875,378.4171142578125
2025-04-03,202.12203979492188,83102.828125,1815.63720703125,369.47509765625
2025-04-04,187.389892578125,83843.8046875,1815.335205078125,356.3343811035156
2025-04-05,,83504.796875,1805.9732666015625,
2025-04-06,,78214.484375,1576.72802734375,
2025-04-07,180.50624084472656,79235.3359375,1555.240966796875,354.3736267089844
2025-04-08,171.51376342773438,76271.953125,1472.5531005859375,351.10577392578125
2025-04-09,197.8048553466797,82573.953125,1668.0400390625,386.68572998046875
2025-04-10,189.4191436767578,79626.140625,1522.518798828125,377.6347961425781
2025-04-11,197.1085205078125,83404.8359375,1567.1497802734375,384.6656799316406
2025-04-12,,85287.109375,1643.528564453125,
2025-04-13,,83684.9765625,1596.685791015625,
2025-04-14,201.45556640625,84542.390625,1622.7698974609375,384.0318908691406
2025-04-15,201.07754516601562,83668.9921875,1588.6324462890625,381.9721374511719
2025-04-16,193.24891662597656,84033.8671875,1578.1053466796875,367.98968505859375
2025-04-17,195.9446563720703,84895.75,1582.54833984375,364.1969909667969
2025-04-18,,84450.8046875,1588.9246826171875,
2025-04-19,,85063.4140625,1612.9228515625,
2025-04-20,,85174.3046875,1587.5142822265625,
2025-04-21,192.14476013183594,87518.90625,1579.7344970703125,355.6213684082031
2025-04-22,198.690185546875,93441.890625,1757.3316650390625,363.2463684082031
2025-04-23,203.52462768554688,93699.109375,1796.104248046875,370.7426452636719
2025-04-24,207.27481079101562,93943.796875,1769.8316650390625,383.52679443359375
2025-04-25,208.18002319335938,94720.5,1786.634521484375,388.03253173828125
2025-04-26,,94646.9296875,1821.881103515625,
2025-04-27,,93754.84375,1792.864990234375,
